IP src          | IP dst          | Port src  | Port dst  | L4 Protocol     | Upper Service   | Num. Bytes      | Initial Timestamp                   | Final Timestamp                    
192.168.1.119   | 149.154.167.99  | 1000      | 1000      | TCP             | HTTPS           | 49147           | 2022-08-11 12:54:28.839340405 UTC | 2022-08-11 12:59:26.891399784 UTC
192.168.1.119   | 140.82.113.26   | 1000      | 1000      | TCP             | HTTPS           | 3660            | 2022-08-11 12:54:34.839371140 UTC | 2022-08-11 12:59:21.539150503 UTC
140.82.121.4    | 192.168.1.119   | 1000      | 1000      | TCP             | HTTPS           | 16933           | 2022-08-11 12:54:41.475774776 UTC | 2022-08-11 12:58:41.855459067 UTC
192.168.1.119   | 198.252.206.25  | 1000      | 1000      | TCP             | HTTPS           | 567             | 2022-08-11 12:54:28.743279887 UTC | 2022-08-11 12:58:44.683157663 UTC
54.161.151.19   | 192.168.1.119   | 1000      | 1000      | TCP             | HTTPS           | 2198            | 2022-08-11 12:54:39.231332494 UTC | 2022-08-11 12:59:15.611281854 UTC
192.168.1.119   | 162.159.130.234 | 1000      | 1000      | TCP             | HTTPS           | 1218            | 2022-08-11 12:54:39.679286863 UTC | 2022-08-11 12:58:47.315271262 UTC
192.168.1.119   | 108.177.119.188 | 1000      | 1000      | TCP             | HTTPS           | 620             | 2022-08-11 12:54:49.151479239 UTC | 2022-08-11 12:59:17.435277679 UTC
216.58.209.46   | 192.168.1.119   | 1000      | 1000      | TCP             | HTTPS           | 4545            | 2022-08-11 12:57:38.687316103 UTC | 2022-08-11 12:57:38.783385330 UTC
192.168.1.119   | 66.22.238.13    | 1000      | 1000      | TCP             | HTTPS           | 24580           | 2022-08-11 12:54:28.551453610 UTC | 2022-08-11 12:59:27.663286771 UTC
149.154.167.99  | 192.168.1.119   | 1000      | 1000      | TCP             | HTTPS           | 36162           | 2022-08-11 12:54:28.871382332 UTC | 2022-08-11 12:59:26.891283345 UTC
162.159.130.234 | 192.168.1.119   | 1000      | 1000      | TCP             | HTTPS           | 1034            | 2022-08-11 12:54:39.679350784 UTC | 2022-08-11 12:58:47.315170451 UTC
142.250.184.106 | 192.168.1.119   | 1000      | 1000      | TCP             | HTTPS           | 4300            | 2022-08-11 12:58:35.127167458 UTC | 2022-08-11 12:58:35.191438590 UTC
140.82.113.26   | 192.168.1.119   | 1000      | 1000      | TCP             | HTTPS           | 5503            | 2022-08-11 12:54:34.839295218 UTC | 2022-08-11 12:59:21.635292896 UTC
